"","zip","year","price","flip_horizon","price_diff","mortgage","inv_to_inv","lat","lon","i2i_rank","perc_top_invested"
"399",2134,2000,184500,117.5,37000,121500,0.124324324324324,42.3519983945946,-71.1335556810811,399,0.388973966309341
"400",2119,2002,233250,469,86500,207500,0.123655913978495,42.323591483871,-71.0867743387097,400,0.387442572741195
"401",2118,2012,585500,2114,60500,366625,0.122641509433962,42.3402755990566,-71.0745622004717,401,0.385911179173048
"402",2122,2022,624950,2335,204131,502250,0.122137404580153,42.2958105954198,-71.0563528664122,402,0.3843797856049
"403",2135,2012,287500,2459,7800,95000,0.121348314606742,42.3456041325843,-71.1524106179775,403,0.382848392036753
"404",2115,2006,409500,1134.5,64500,239200,0.12111801242236,42.3456963850932,-71.0887128012422,404,0.381316998468606
"405",2127,2008,361250,1343.5,16500,277450,0.121019108280255,42.3352796242038,-71.0449138328025,405,0.379785604900459
"406",2109,2002,418600,564,78750,268000,0.120879120879121,42.3644624175824,-71.052274043956,406,0.378254211332312
"407",2126,2000,169200,167.5,61475,147750,0.120689655172414,42.2760162873563,-71.0917778678161,407,0.376722817764165
"408",2118,2011,560000,1886.5,41500,340000,0.120521172638436,42.3404041335505,-71.0754320553746,408,0.375191424196018
"409",2114,2013,534500,2372,102000,277200,0.12,42.36144569,-71.067176175,409,0.373660030627871
"410",2136,2020,515000,1932,170000,412000,0.119834710743802,42.2548128595041,-71.1229585289256,410,0.372128637059724
"411",2136,2006,350000,850,75000,278000,0.119733924611973,42.2565056097561,-71.1216013170732,411,0.370597243491577
"412",2131,2019,540000,1909.5,151500,412000,0.11864406779661,42.2839937966102,-71.1291655728814,412,0.36906584992343
"413",2128,2002,265000,396,84000,220765.5,0.118131868131868,42.376707489011,-71.0307781565934,413,0.367534456355283
"414",2113,2001,340000,424,18500,239000,0.117647058823529,42.3652853529412,-71.0550491470588,414,0.366003062787136
"415",2115,2007,440000,1173,65000,260800,0.117263843648208,42.3466361172638,-71.0877293485342,415,0.364471669218989
"416",2131,2007,345000,1207,15000,270000,0.11716621253406,42.2837352506812,-71.129478,416,0.362940275650842
"417",2109,2004,5e+05,1000.5,93750,311200,0.117117117117117,42.3645801711712,-71.0525266666667,417,0.361408882082695
"418",2467,2007,804250,782,46000,282000,0.117021276595745,42.3298734787234,-71.1499667659574,418,0.359877488514548
"419",2118,2014,7e+05,2120.5,153500,4e+05,0.116740088105727,42.340105370044,-71.0743547709251,419,0.358346094946401
"420",2127,2014,485000,1960.5,102000,367350,0.11566265060241,42.3349246518072,-71.043809853012,420,0.356814701378254
"421",2215,2011,325000,1910,15450,1e+05,0.115646258503401,42.3465429183673,-71.0945289659864,421,0.355283307810107
"422",2130,2018,639500,2142,198500,450250,0.115537848605578,42.3127410338645,-71.1113025258964,422,0.35375191424196
"423",2114,2014,556000,2404,135500,205000,0.114942528735632,42.3614275229885,-71.0667426666667,423,0.352220520673813
"424",2127,2016,639500,1886.5,189000,439560,0.114832535885167,42.3351278911483,-71.0447030885167,424,0.350689127105666
"425",2127,2011,374000,1788,0,271200,0.114329268292683,42.3349953170732,-71.0430189039634,425,0.349157733537519
