"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"155460",25025070802,2115,819000,2050,0.424778761061947,65238,107772,266,218,6,363,1702,262,2142,281,1354,1331,2685,565,9,43,13,20,480,972,464000
"155653",25025070802,2116,819000,2050,0.424778761061947,65238,107772,266,218,6,363,1702,262,2142,281,1354,1331,2685,565,9,43,13,20,480,972,464000
"156816",25025000701,2134,357000,2723,0.399686520376176,70897,90361,419,1045,3,145,2644,210,4109,198,2151,2366,4517,319,3,15,16,30,255,802,0
"156821",25025000701,2135,357000,2723,0.399686520376176,70897,90361,419,1045,3,145,2644,210,4109,198,2151,2366,4517,319,3,15,16,30,255,802,0
"157825",25025080801,2120,1230000,1218,0.384615384615385,28295,0,1414,533,9,940,1238,340,3271,671,1963,2319,4282,13,2,0,1,0,10,3017,795000
"157826",25025080801,2119,1230000,1218,0.384615384615385,28295,0,1414,533,9,940,1238,340,3271,671,1963,2319,4282,13,2,0,1,0,10,3017,795000
"157838",25025080801,2115,1230000,1218,0.384615384615385,28295,0,1414,533,9,940,1238,340,3271,671,1963,2319,4282,13,2,0,1,0,10,3017,795000
"157859",25025110502,2131,424500,2102.5,0.429126213592233,96326,111648,918,131,8,556,2178,621,2651,728,1908,2092,4000,515,22,8,18,25,442,1410,310000
"158010",25025110502,2132,424500,2102.5,0.429126213592233,96326,111648,918,131,8,556,2178,621,2651,728,1908,2092,4000,515,22,8,18,25,442,1410,310000
"158207",25025110502,2130,424500,2102.5,0.429126213592233,96326,111648,918,131,8,556,2178,621,2651,728,1908,2092,4000,515,22,8,18,25,442,1410,310000
"158705",25025110502,2108,424500,2102.5,0.429126213592233,96326,111648,918,131,8,556,2178,621,2651,728,1908,2092,4000,515,22,8,18,25,442,1410,310000
"159162",25025110301,2131,407000,2254,0.436708860759494,73906,92885,664,74,1,607,1022,375,1676,449,1168,1332,2500,316,14,11,7,8,276,1214.5,277800
"159163",25025110301,2130,407000,2254,0.436708860759494,73906,92885,664,74,1,607,1022,375,1676,449,1168,1332,2500,316,14,11,7,8,276,1214.5,277800
"160014",25025120105,2119,710000,2540,0.446308724832215,0,170078,173,148,5,120,1896,783,1300,409,1093,1399,2492,447,8,6,12,22,399,1810,4e+05
"160015",25025120105,2130,710000,2540,0.446308724832215,0,170078,173,148,5,120,1896,783,1300,409,1093,1399,2492,447,8,6,12,22,399,1810,4e+05
"160036",25025120105,2467,710000,2540,0.446308724832215,0,170078,173,148,5,120,1896,783,1300,409,1093,1399,2492,447,8,6,12,22,399,1810,4e+05
"160046",25025120105,2132,710000,2540,0.446308724832215,0,170078,173,148,5,120,1896,783,1300,409,1093,1399,2492,447,8,6,12,22,399,1810,4e+05
"161166",25025010204,2215,580000,2343.5,0.417874396135266,55714,0,265,1097,0,168,1690,66,3280,97,1527,1916,3443,207,5,4,9,16,173,932,210000
"161313",25025010204,2210,580000,2343.5,0.417874396135266,55714,0,265,1097,0,168,1690,66,3280,97,1527,1916,3443,207,5,4,9,16,173,932,210000
"161689",25025010204,2115,580000,2343.5,0.417874396135266,55714,0,265,1097,0,168,1690,66,3280,97,1527,1916,3443,207,5,4,9,16,173,932,210000
"161761",25025081800,2119,335000,1311.5,0.317543859649123,17802,78318,1084,46,5,1923,256,430,2324,813,1666,1901,3567,285,30,22,27,25,181,2436,260310
"161770",25025081800,2116,335000,1311.5,0.317543859649123,17802,78318,1084,46,5,1923,256,430,2324,813,1666,1901,3567,285,30,22,27,25,181,2436,260310
"161798",25025081800,2121,335000,1311.5,0.317543859649123,17802,78318,1084,46,5,1923,256,430,2324,813,1666,1901,3567,285,30,22,27,25,181,2436,260310
"161916",25025081800,2171,335000,1311.5,0.317543859649123,17802,78318,1084,46,5,1923,256,430,2324,813,1666,1901,3567,285,30,22,27,25,181,2436,260310
"162246",25025081800,2125,335000,1311.5,0.317543859649123,17802,78318,1084,46,5,1923,256,430,2324,813,1666,1901,3567,285,30,22,27,25,181,2436,260310
"162508",25025120700,2130,490000,2445,0.448275862068966,87708,150016,283,301,1,171,1271,345,1582,212,1016,1123,2139,261,9,4,7,7,234,1080,344000
"162511",25025120700,2115,490000,2445,0.448275862068966,87708,150016,283,301,1,171,1271,345,1582,212,1016,1123,2139,261,9,4,7,7,234,1080,344000
"163242",25025000505,2135,390000,2622,0.418604651162791,41125,165536,243,328,0,142,1383,434,1645,117,904,1292,2196,258,4,9,12,17,216,812.5,0
"163265",25025000505,2446,390000,2622,0.418604651162791,41125,165536,243,328,0,142,1383,434,1645,117,904,1292,2196,258,4,9,12,17,216,812.5,0
"163383",25025000505,2134,390000,2622,0.418604651162791,41125,165536,243,328,0,142,1383,434,1645,117,904,1292,2196,258,4,9,12,17,216,812.5,0
"163963",25025060601,2127,535000,1905.5,0.451859956236324,122241,250001,86,150,1,44,1661,138,1718,150,1032,974,2006,457,8,5,8,23,413,1045,384000
"165014",25025020301,2114,439500,2361,0.424479166666667,121029,80833,143,581,0,60,1288,453,1570,143,1072,1094,2166,192,3,3,8,15,163,737,0
"165578",25025120600,2130,550000,1895.5,0.463611859838275,119221,180588,284,153,4,118,1852,224,1994,348,1162,1404,2566,371,6,4,8,9,344,1250,380000
"166462",25025081302,2119,431000,2733,0.281914893617021,24597,0,1415,65,9,1186,255,510,1866,704,1364,1716,3080,94,8,14,12,7,53,1281,366750
"166583",25025081302,2121,431000,2733,0.281914893617021,24597,0,1415,65,9,1186,255,510,1866,704,1364,1716,3080,94,8,14,12,7,53,1281,366750
"166730",25025000601,2135,445000,2378,0.396284829721362,112143,132662,402,686,3,93,2333,379,3038,341,1929,1829,3758,323,14,11,19,23,256,1297,232500
"166740",25025000601,2134,445000,2378,0.396284829721362,112143,132662,402,686,3,93,2333,379,3038,341,1929,1829,3758,323,14,11,19,23,256,1297,232500
"166793",25025000601,2136,445000,2378,0.396284829721362,112143,132662,402,686,3,93,2333,379,3038,341,1929,1829,3758,323,14,11,19,23,256,1297,232500
"167574",25025000502,2135,380000,2572,0.413507109004739,70417,140268,531,690,27,343,5158,525,6219,242,3291,3695,6986,422,7,14,24,28,349,797,0
"167580",25025000502,2467,380000,2572,0.413507109004739,70417,140268,531,690,27,343,5158,525,6219,242,3291,3695,6986,422,7,14,24,28,349,797,0
"167918",25025000502,2215,380000,2572,0.413507109004739,70417,140268,531,690,27,343,5158,525,6219,242,3291,3695,6986,422,7,14,24,28,349,797,0
"168347",25025000502,2134,380000,2572,0.413507109004739,70417,140268,531,690,27,343,5158,525,6219,242,3291,3695,6986,422,7,14,24,28,349,797,0
"168777",25025091400,2125,350000,2477,0.349593495934959,24050,78611,910,33,15,1205,201,362,1865,659,1371,1515,2886,123,18,2,10,7,86,2244,259841
"168813",25025091400,2121,350000,2477,0.349593495934959,24050,78611,910,33,15,1205,201,362,1865,659,1371,1515,2886,123,18,2,10,7,86,2244,259841
"169199",25025981700,2116,3801500,3009.5,0.371428571428571,0,0,1,0,0,0,1,0,4,0,1,3,4,35,0,2,1,6,26,1632,0
"169203",25025981700,2108,3801500,3009.5,0.371428571428571,0,0,1,0,0,0,1,0,4,0,1,3,4,35,0,2,1,6,26,1632,0
